Price,Open,High,Low,Close,Volume
Ticker,,,,,,
,,,,,,
1998-07-20,3.730487872531859,3.736096678827068,3.6293453446952757,3.6686720848083496,8655911
1998-07-21,3.6462002365778408,3.65743676008175,3.5001265220222466,3.612489938735962,8994829
1998-07-22,3.618109610385153,3.679907209694989,3.533836420949113,3.573162794113159,10702321
1998-07-23,3.365292014089113,3.382146800033449,3.129328283854221,3.1742711067199707,46356215
1998-07-24,3.0956185689163283,3.3147264635670215,3.045056383530528,3.0562918186187744,21242526
1998-07-27,3.078762486457231,3.101237352818668,3.0057254440054026,3.033820390701294,9304972
1998-07-28,3.1012372879940746,3.1574195432445538,3.0731459785362922,3.1349446773529053,7594554
1998-07-29,3.1405632455660997,3.269782145791141,3.129327451920433,3.2192163467407227,6983937
1998-07-30,3.230457036891059,3.3540559065059643,3.2192176022121575,3.3372011184692383,7578722
1998-07-31,3.3596721467982458,3.399002528817692,3.2023618923389767,3.2866387367248535,13853862
1998-08-03,3.224837697911737,3.2416924860252667,3.0731464232156522,3.118093252182007,6634456
1998-08-04,3.14056396484375,3.14056396484375,3.14056396484375,3.14056396484375,3193358
1998-08-05,3.0562909668311002,3.1180925703978013,3.0338201029172334,3.1012370586395264,7174103
1998-08-06,3.084382706677399,3.0956181402096696,3.0169650141722526,3.0900020599365234,4619154
1998-08-07,3.1967462394778647,3.337200982397992,3.168655290893839,3.3147261142730713,12257908
1998-08-10,3.3372005100217628,3.3428311362886887,3.2360725275696076,3.2810182571411133,5800614
1998-08-11,3.1911250925515806,3.2135999531676784,3.0394351482391357,3.0394351482391357,10979244
1998-08-12,3.090002302324594,3.1517999190879693,3.050671554071926,3.118093252182007,9507860
1998-08-13,3.118093007590407,3.1293284411226776,3.045055961826136,3.0900020599365234,4390027
1998-08-14,3.067526834135893,3.0900016988905934,3.033820173812369,3.061910390853882,4884613
1998-08-17,3.022580957362569,3.045055823724005,3.011344797009673,3.033820390701294,3292368
1998-08-18,3.090002131356503,3.1630351784926094,3.056291465999224,3.1461803913116455,5523738
1998-08-19,3.202361850235862,3.2079819308252033,3.078762626088057,3.0900020599365234,7756785
1998-08-20,3.050670885771901,3.056290965570925,2.887745303349169,2.8933653831481934,9839607
1998-08-21,2.83718395847825,2.8596550107606493,2.7248165142832796,2.7753825187683105,13119354
1998-08-24,2.7810011461466675,2.8034729198871005,2.6180715585274146,2.713580369949341,11681677
1998-08-25,2.724816074169741,2.8596545488679386,2.713580640759585,2.8540353775024414,6163980
1998-08-26,2.8090880795257287,2.8090880795257287,2.5843647352735735,2.6405467987060547,9164019
1998-08-27,2.651782571171939,2.6798727863350886,2.556273766726492,2.584364891052246,7835258
1998-08-28,2.47200083732605,2.556273285268523,2.432670288624312,2.47200083732605,11991772
1998-08-31,2.511328359652921,2.5281831467099942,2.1630011851183437,2.2191834449768066,16810658
1998-09-01,1.9776001709883388,2.1910917184217653,1.9776001709883388,2.084343671798706,12471020
1998-09-02,2.2978361484066974,2.303455500717881,2.2135629559961703,2.247274160385132,11935783
1998-09-03,2.185472286320856,2.185472286320856,2.000071624443992,2.073108673095703,7526818
1998-09-04,2.0731081877346424,2.241654022693421,2.0731081877346424,2.1068193912506104,9969552
1998-09-07,2.219183523119502,2.3034560067118437,2.1349101303643425,2.275364875793457,7628824
1998-09-08,2.2809810279631892,2.3652535074832906,2.2809810279631892,2.2978365421295166,5068391
1998-09-09,2.331547477381098,2.3483991763337,2.1405267046718364,2.146146059036255,6188170
1998-09-10,2.067493748063564,2.0899648025022928,1.814675338663098,1.9832203388214111,17031814
1998-09-11,1.9663653357484698,2.1236710641495167,1.9326541209957508,2.028162956237793,10777011
1998-09-14,2.078728186687004,2.0843437201521873,1.9495090939337425,1.9776002168655396,5355428
1998-09-15,1.9776004747429463,2.00569832914162,1.8315256709205108,1.966364860534668,8258536
1998-09-16,1.9776005211493177,1.9888359537887113,1.8540005794937553,1.8764723539352417,6429704
1998-09-17,1.8315253688002722,1.8371454478840434,1.6910706681574506,1.7304010391235352,8227779
1998-09-18,1.7247823476791382,1.7809636980241803,1.6910711372823728,1.7247823476791382,8604161
1998-09-21,1.6798356876483371,1.6854555864051244,1.4775832465468381,1.5450010299682617,9650205
