Price,Open,High,Low,Close,Volume
Ticker,,,,,,
,,,,,,
1996-08-29,4811.67578125,4839.029602973297,4785.470098103461,4811.67578125,916368
1996-08-30,4733.6953125,4770.430455362464,4725.89656648696,4733.6953125,2497648
1996-09-02,4793.94384765625,4792.993830167215,4752.022272252479,4793.94384765625,935200
1996-09-03,4787.5712890625,4812.233089379873,4774.863957709221,4787.5712890625,806672
1996-09-04,4876.5205078125,4895.521344731493,4857.519187669863,4876.5205078125,1081664
1996-09-05,4844.65478515625,4849.642620584787,4817.182549176477,4844.65478515625,2500384
1996-09-06,4808.8681640625,4836.855024668821,4317.966152194564,4808.8681640625,1502048
1996-09-09,4868.72119140625,4874.42129628177,4841.208859167547,4868.72119140625,982800
1996-09-10,4874.2607421875,4899.1206499261825,4852.924499014197,4874.2607421875,2818640
1996-09-11,4902.96337890625,4910.009745954076,4857.914855518955,4902.96337890625,2002736
1996-09-12,4942.94482421875,4968.596265185367,4935.067313280656,4942.94482421875,1379184
1996-09-13,4988.30908203125,4988.388330687472,4903.556026766078,4988.30908203125,1825280
1996-09-16,4943.06298828125,4990.48703230486,4924.259792868052,4943.06298828125,4963216
1996-09-17,4925.68505859375,4981.93614471946,4762.552173238474,4925.68505859375,1009712
1996-09-18,4887.24853515625,4930.67391528726,4868.484959271186,4887.24853515625,3474144
1996-09-19,4917.56884765625,4920.379275233293,4887.483838970021,4917.56884765625,1698080
1996-09-20,4935.81787109375,4954.58143794455,4917.093928566456,4935.81787109375,1479072
1996-09-23,4886.298828125,4959.1365892310505,4867.53525104667,4886.298828125,1894528
1996-09-24,4911.15673828125,4929.880683323135,4892.432793239365,4911.15673828125,1280560
1996-09-25,4947.57763671875,4964.758173728508,4887.447206855832,4947.57763671875,825984
1996-09-26,4899.71728515625,4917.055831416307,4802.771998576024,4899.71728515625,2131168
1996-09-27,4912.580078125,4930.631369827449,4904.346435354949,4912.580078125,4279120
1996-09-30,4930.35595703125,4948.407255900281,4892.908064934815,4930.35595703125,244480
1996-10-01,4940.7275390625,4953.5532588829865,4928.77258810331,4940.7275390625,1912768
1996-10-02,5019.97607421875,5023.776142760524,4978.054997641372,5019.97607421875,3036400
1996-10-03,5000.10888671875,5030.90667477947,4968.836089625744,5000.10888671875,1633680
1996-10-04,5040.99755859375,5042.106073377982,4983.559193368008,5040.99755859375,725824
1996-10-07,5130.025390625,5148.432338607306,5111.578335095636,5130.025390625,2172256
1996-10-08,5222.3408203125,5240.787882446769,5203.893758178232,5222.3408203125,3194368
1996-10-09,5162.84423828125,5191.860855465394,5123.654312384447,5162.84423828125,4023104
1996-10-10,5090.12353515625,5107.145567397909,4995.632555464241,5090.12353515625,1887408
1996-10-11,5082.5625,5100.851544218902,5064.27393900463,5082.5625,3524624
1996-10-14,5146.7705078125,5152.708358199195,5097.9214440437045,5146.7705078125,2160496
1996-10-15,5167.158203125,5185.248644779,5149.067278247407,5167.158203125,6130800
1996-10-16,5142.92919921875,5179.110550935387,5117.594763054479,5142.92919921875,2285344
1996-10-17,5133.74755859375,5151.759234514094,5115.735882673405,5133.74755859375,924160
1996-10-18,5176.935546875,5181.408747501194,5142.7730898511245,5176.935546875,1295632
1996-10-21,5256.8955078125,5262.318722983806,5238.844701190018,5256.8955078125,1181776
1996-10-22,5293.8330078125,5294.703776832348,5235.364878885998,5293.8330078125,6570352
1996-10-23,5299.13671875,5353.448151317992,4246.355354861562,5299.13671875,3617984
1996-10-24,5255.11669921875,5439.862716547222,5247.0410677017135,5255.11669921875,1627376
1996-10-25,5191.4619140625,5218.459608566481,5177.488541376415,5191.4619140625,692704
1996-10-28,5235.3623046875,5245.060598602784,5158.842910662933,5235.3623046875,320096
1996-10-29,5222.22216796875,5254.247332279081,5181.449205886896,5222.22216796875,413312
1996-10-30,5129.50927734375,5164.8986203397935,5124.52144624422,5129.50927734375,1130368
1996-10-31,5026.4287109375,5196.211661560767,5020.609734997481,5026.4287109375,3414576
1996-11-01,4941.20166015625,4996.661218567686,4911.472785427764,4941.20166015625,1575840
1996-11-04,4830.68017578125,4901.102769398142,4776.40788184435,4830.68017578125,2196640
1996-11-05,4805.85888671875,4814.607165250805,4768.094002503264,4805.85888671875,4598176
1996-11-06,4807.20361328125,4869.155270595042,4213.77482239363,4807.20361328125,5072480
